Código,NOMBRE DE LUGAR POBLADO,C1,C2
10207028,PUERTO ELENA,1,0
10207035,SINOSTRE (P),2,3
10207037,TIGER HILL,128,461
10207043,BARRIADA LAS BRISAS,79,377
10207049,BARRIADA 15 DE DICIEMBRE,81,269
10208001,ALTO DE SORI,20,68
10208002,BETANIA,7,19
10208003,BOCA CHICA (P),37,39
10208004,BOQUISCO,37,69
10208005,CAMPAMENTO BRACHA,4,3
10208006,COCHIGRÓ,89,301
10208007,CORRIENTE GRANDE,21,35
10208008,EL BAJO DE  LA ESPERANZA,65,174
10208009,EL GUABO O QUEBRADA GUABO,85,369
10208010,GAVILÁN,1,1
10208011,ISLA VENADO,16,36
10208012,LA MINA,31,150
10208013,MARCO O CABLE GUÍA,20,91
10208015,QUEBRADA CARBÓN No.2,9,26
10208016,QUEBRADA DE LEÓN,11,45
10208018,QUEBRADA PUERCO,40,125
10208019,SANTA ROSA (P),115,264
10208020,SURSUBA,40,113
10208021,BUENA VISTA,9,11
10208022,BUENA SELVA (P),23,96
10208023,ALTO PEDREGAL,11,37
10208024,TUCÁN,4,13
10209001,ALTOS DE MILLA 10 O VISTA HERMOSA,48,197
10209002,BOCA DE JUNCO (P),13,19
10209003,EL CANAL,14,3
10209005,ISLA TIGRE,5,22
10209006,JUNCO O SAN JUAN,119,242
10209007,JUNQUITO,12,24
10209008,LA ESCONDIDA (P),4,5
10209009,LA GLORIA (P),241,764
10209010,LOMA BONITA (P),59,237
10209011,LOMA BRAVA,34,135
10209012,LOMA MULETO (P),73,225
10209013,MILLA 5 (P),48,187
10209014,MILLA 6,32,126
10209015,MILLA 7,20,59
10209016,MILLA 7 1/2 (P),35,131
10209017,MILLA 8,1,0
10209018,MILLA 10,59,241
10209019,MILLA 11 (P),27,134
10209020,PUNTA SOROSTRA,2,4
10209021,SELVINA,11,24
10209022,VALLE JUNQUITO,114,409
10209023,LA BARRA (P),1,0
10209027,ALTO PITA,15,36
10209028,BOCA DE SELVINA,3,8
10210001,AGUA SALUD O LOS POZOS DE AGUAS TERMALES,51,141
10210003,BOCA DE YORKIN,15,23
10210004,BORONI,3,0
10210005,DAKLES O DACLIS,27,63
10210006,EL GUABO DE YORKIN,16,49
10210007,SINOSTRE ADENTRO (P),6,11
10210008,ENDI,5,2
10210009,KAPEQUICHA O ALTO YORKIN,56,200
10210010,LA GOLONDRINA,1,6
10210011,LAS DELICIAS ABAJO,76,216
10210012,LAS DELICIAS ARRIBA,85,252
10210013,LAS PALMAS O LAS PALMITAS DE YORKIN,34,211
10210015,NAMUWUOKI,6,27
10210016,SANTA CLARA (P),20,48
10210017,SANURY O DOS BOCAS,14,13
10210018,SIBUBE,47,144
10210019,SIBUBE ADENTRO,19,46
10210021,SINOSTRE (P),62,277
10210025,BRIS,2,13
10210026,KATSI,2,7
10210027,TSCUI,12,24
10213002,FINCA 71,5,14
10213003,FINCA LA PONDEROSA,3,14
10213004,PUENTE DE SAN SAN (P),230,1059
10213005,CHANGUINOLA (P),2619,9470
10214002,CHARAGRE (P),115,409
10214003,EL SILENCIO (P),1171,3183
10214004,LA HORTALIZA (P),22,47
10214005,QUEBRADA CARBÓN  No.1,4,5
10214006,QUEBRADA CARBÓN  No.2,18,13
10214007,QUEBRADA YORKIN,5,11
10214008,SANTA MARTA DE YORKIN (P),64,171
10215001,BARRA 44,2,0
10215003,CHANGUINOLA (P),2686,7634
10215004,FINCA 43,119,493
10215005,FINCA 44,156,846
10215007,SAN SAN No.1 (P),7,9
10216001,BARRIADA LA JUVENTUD,107,430
10216002,BARRIADA LA REINA,10,25
10216003,BARRIADA THEOBROMA,498,2128
10216004,CHARAGRE (P),1,7
10216005,EL TECAL,102,362
10216006,FINCA 24,222,959
10216007,FINCA 31,177,462
10216008,FINCA 32,366,1565
10216009,FINCA 33,200,925
10216010,FINCA 69,3,6
10216011,LA NUEVA ESPERANZA O CANTIFLÁN,36,228
10216012,LAGO 4,4,1
10216013,SANTA MARTA ABAJO,2,10
10216014,5 DE MARZO,100,391
10216015,BARRIADA ANACONDA,123,455
10216016,BARRIADA COBANA,49,193
10216018,BARRIADA URRACÁ,271,654
10217001,BARRIADA 21 DE ABRIL,102,414
10217002,FINCA 61,171,658
10217003,FINCA 62,178,828
10217004,FINCA 62 RURAL,9,5
10217005,FINCA 63,337,1748
10217006,FINCA 64,193,961
10217007,FINCA 67,96,458
10217008,FINCA 67 ABAJO,56,249
10217009,LA BARRA (P),4,2
10217010,LA PODEROSA (P),4,6
10218001,ALTO NANCE (P),6,18
10218002,BAJO NANCE,10,53
10218003,BARRANCO ADENTRO,416,2037
10218004,BARRANCO MEDIO,100,578
10218005,BARRIADA 14 DE ABRIL,350,1828
10218006,BARRIADA CABLE 90,4,29
10218007,BOINVOTA,37,203
10218008,FINCA 45 ADENTRO,13,8
10218009,LAS PALMITAS,22,114
10218010,SANTA CLARA (P),4,3
10219001,BAMBÚ,189,780
10219002,BARRIADA SANTA ELENA,76,161
10219003,BOCA DE JUNCO (P),7,20
10219004,BUENA VISTA ABAJO O BAMBITO,8,9
10219005,FINCA 1,85,552
10219006,FINCA 2,108,633
10219007,FINCA 2 RURAL,9,51
10219008,FINCA 3,81,568
10219009,FINCA 3 RURAL,6,11
10219010,FINCA 4,374,1095
10219011,LA ESCONDIDA (P),14,37
10219012,LOMA BAMBÚ,60,175
10219014,MILLA 11 (P),1,1
10219015,MILLA 12,22,69
10219016,TORRES,14,39
10219017,URBANIZACIÓN NUEVO AMANECER,234,913
10219018,ALTO DEL RIMA,31,113
10219019,BARRIADA 20 DE ENERO,87,301
10219020,BARRIADA NAZARENO,53,138
10219021,FINCA 1 RURAL,22,77
10219022,LOMA EL BAJO,5,38
10220001,CHANGUINOLA (P),902,3264
10221001,AGROGANADERA CARIBE,1,7
10221002,BARRIADA NUEVO AMANECER,29,142
10221004,CALIFORNIA,88,430
10221005,DEBORAH,90,555
10221006,FINCA 51,319,1159
10221007,FINCA 53,27,578
10221009,FINCA NOMBRE DE DIOS,3,1
10221010,GUABITO (P),35,64
10221011,JUNTA AGRARIA,9,9
10221012,LA BARRA,5,10
10221013,LA JARA,9,32
10221014,LA PALMA,10,5
10221015,MILLA 21 (P),1,0
10221016,MILLA 23 O PUENTE BLANCO (P),97,498
10221017,NUEVA CALIFORNIA,66,281
10221018,PUENTE DE SAN SAN (P),4,9
10221019,PUENTE DEL MEDIO,157,736
10221020,PUENTE NEGRO (P),241,1032
10221021,RÍO NEGRO,7,33
10221022,SAN SAN NO.1 (P),4,2
10221023,BARRIADA 20 DE MAYO,91,149
10222001,CHANGUINOLA (P),816,2184
10223001,ALTO NANCE (P),11,47
10223002,EL ARENAL (P),16,58
10223003,ISLA GRANDE,9,15
10223004,LA MESA,356,1615
10223005,QUEBRADA CANELA,55,172
