Código,NOMBRE DE LUGAR POBLADO,C1,C2
20608012,ALTO DE URACILLO,24,56
20608015,EL LADRILLAL DE SAN CRISTÓBAL,11,21
20608016,EL DOMINICAL (P),11,7
20608017,EL AGUACATE,2,15
20608018,EL ÁGUILA,13,24
20608020,EL AJÍ,8,15
20608021,BAJO PIFÁ,3,4
20608022,EL BARRERO,8,16
20608025,LA CALABAZA,14,45
20608026,EL CAMPANO,5,10
20608028,COQUILLO CENTRO,49,224
20608032,EL ESPAVELAR,11,37
20608033,EL FALDAR,6,34
20608034,BOQUILLA DE LAS POSTRERAS,21,60
20608035,LA ARENOSA,27,101
20608036,EL JOBO ARRIBA,25,58
20608038,EL LIMÓN No.1 (P),6,8
20608041,EL PAPAYO (P),3,9
20608042,PON LA OLLA,2,5
20608043,EL SILENCIO No.1,12,19
20608044,CERRO MIGUEL,14,57
20608045,EL SILENCIO CHICO,3,6
20608048,LA HORMIGUERA,13,37
20608050,LA MONA,3,4
20608051,LA PAILA,6,13
20608052,LA PEDREGOSA,3,7
20608053,PIGÜILA,4,3
20608055,SABANETA DE U (P),17,37
20608056,LA SARDINA,22,38
20608057,LAS CANOAS,13,34
20608058,LAS MARÍAS,50,113
20608059,LAS MARÍAS ARRIBA,45,147
20608060,LAS MINAS (P),3,12
20608061,CAMPO ALEGRE,7,16
20608062,LAS POSTRERAS,15,56
20608063,LAS QUEBRADAS DE URACILLO,28,90
20608064,LA TIGRITA,2,9
20608065,LA TOLLOSA,49,155
20608066,LOMA ALTA (P),4,16
20608067,LOMA DE LA CIGARRA,2,4
20608069,LOS MOLEJONES,7,27
20608071,MANGUESAL,4,3
20608072,PALMA REAL,10,35
20608073,URACILLO No.2,16,49
20608074,PASO CARNAL,11,30
20608075,PIEDRA AMARILLA,2,7
20608077,QUEBRADA EL MACHO,1,2
20608078,QUEBRADA JACUMILLA,22,74
20608079,QUEBRADA LA CONGA,3,6
20608080,QUEBRADA LA PALMA,17,38
20608085,COQUILLO DE URACILLO,27,89
20608087,RÍO INDIO,6,15
20608088,SAN CRISTÓBAL,40,99
20608089,SILENCITO,16,55
20608090,TIERRA BUENA,20,32
20608091,TRES HERMANAS (P),4,8
20608094,U CENTRO (P),74,194
20608095,CERRO VENADO,7,29
20608096,ALTO SILENCIO,30,96
20608097,LA CECILIA,1,0
20608099,LOS RODEOS,16,59
20608102,EL LÍMITE,36,88
20608103,EL VALLECITO (P),16,57
20608106,LA GUINEA,17,57
20608107,LA MINA,33,70
20608108,LA NEGRITA,8,34
20608109,LA TOLLOSITA,5,3
20608112,LAS VEGAS,10,47
20608114,LOS NARANJITOS,5,18
20608115,LOS RASTROJOS,1,5
20608117,LA PUENTE,19,92
20608119,BOQUILLA DE LA MINA,8,22
20608121,CIGÜA,7,14
20608123,EL GUABO,2,13
20608124,EL HARINO,2,11
20608125,EL SILENCIO,42,113
20608126,EL SILENCIO ARRIBA,11,39
20608127,LA IGUANA,3,8
20608128,LA JEJENA (P),2,6
20608129,LA TIGRA,3,9
20608131,LAS MERCEDES,22,59
20608132,LOS CEDROS (P),7,22
20608134,PUEBLO NUEVO,20,76
20608137,URACILLO CENTRO,42,124
20608138,URACILLO DE LAS MARÍAS,13,78
20608139,BARNIZAL No.1,3,9
20608142,LA CABINA,4,4
20608143,LAS MARÍAS CENTRO,18,49
20608145,CABECERA DE QUEBRADA EL COCA,1,3
20608146,EL ARENOSO,1,2
20608147,EL HIGUERONAL,3,7
20608148,IGUANA QUEMÁ,4,9
20608149,LOMA ALTA ABAJO (P),15,75
20609003,ATRÉ No.1 (P),49,137
20609009,BITO (P),2,3
20609011,BOCA DE CHIGUIRÍ,57,145
20609019,CACACO,36,70
20609020,CAÑAZAS No.2,8,39
20609025,ALTOS DEL COCO,87,240
20609026,EL CUCHARO,2,0
20609028,EL JAGUA,4,17
20609035,LA CANDELARIA,197,467
20609037,LAS CUESTAS DE MARICA,147,417
20609038,LA MARTILLADA,142,317
20609042,LAS VARITAS,15,50
20609044,BRAZO DE U (P),43,170
20609045,LOS MOLEJONES (P),3,7
20609047,MIRAFLORES,331,865
20609048,EL NARANJAL,180,544
20609050,SANTA ANA ARRIBA (P),8,28
20609051,OJO DE AGUA,50,74
20609059,SABANA LARGA,102,251
20609060,SABANETA DE U (P),3,12
20609061,SAGREJÁ,227,601
20609063,SAN MIGUEL (P),9,12
20609064,TAMBO,281,663
20609066,TOABRÉ,242,705
20609068,TUCUÉ (P),17,45
20609070,TUCUECITO (P),56,172
20609072,U CENTRO (P),13,53
20609074,CHIGUIRÍ ABAJO,92,219
20609076,BEJUCO,33,78
20609078,EL CAÑO DE SAN MIGUEL (P),2,4
20609081,CHORRERITA (P),10,17
20609082,SAN PEDRO ABAJO (P),17,32
20609083,SAN JOSÉ,66,210
20609084,SAN PABLO,24,42
20609086,ATRÉ No.2,45,76
20609088,BOCA DE LARGUILLO,16,28
20609091,CABECERA DE RÍO BITO,2,5
20609095,GUABAL ARRIBA,10,29
20609097,LAS MARÍAS,23,77
20609098,LOS PILARES (P),52,172
20609107,QUEBRADA LOS SULES,2,8
20609108,QUEBRADA SARDINOSA,2,8
20609111,SAN PABLO ABAJO,48,119
20609112,SAN PABLO ARRIBA,34,81
20609115,QUEBRADA ARENAL,2,0
20609120,PERECABECITO O SANTA CRUZ  (P),9,17
20609121,ALTO DE LA MONA,5,11
20609122,VALLE SOLITARIO,10,28
20609124,CHIGUIRÍ CENTRO (P),27,65
20609125,LARGUILLO ABAJO (P),4,9
20609126,SAN PEDRO (P),1,1
20609127,VALLE MIRAFLORES,13,0
20610002,BOCA DE CUIRIA,41,138
20610004,BUENA VISTA,60,171
20610011,LAS MARINAS (P),30,81
20610015,LA TULÚA (P),34,78
20610016,LUBRÉ,10,20
20610017,LURÁ CENTRO (P),87,308
20610018,LURACITO ARRIBA (P),21,97
20610025,TULÚ ABAJO,23,56
20610026,TULÚ ARRIBA,80,229
20610030,CHICAGÜA,12,42
20610031,GATO ESPINO,15,34
20610032,NUEVO SAN PABLO,25,82
20610033,SAN ISIDRO,48,134
20610034,SAN VICENTE,24,99
20610035,TULÚ CENTRO,101,362
20610036,UNIÓN SANTEÑA,20,49
20610037,CUTEVA ARRIBA,6,12
20610038,LA BOCA DE TULÚ (P),8,28
20610040,NUEVO ROSARIO,20,77
20610041,NUEVO SAN ANTONIO,38,130
20610042,PIEDRA AMARILLA,1,2
20610043,TACUMA,1,10
20610045,CERRO TULÚ,1,2
20610047,CABA CORRIENTE,2,0
20611001,ALTOS DE SAN MIGUEL (P),13,25
20611002,BANACITO,49,161
20611003,BOCA DE GUAYABO,12,11
20611004,BOCA DE LURÁ,72,141
20611005,BOCA DE SAN MIGUEL,17,50
20611006,BOCA DE TUCUÉ,91,293
20611007,BOQUILLA DE DOMINICA,16,51
20611008,CAÑAZAS NO.1,26,50
20611009,CHORRERITA (P),2,11
20611010,CUIRIA O SAN FRANCISCO,36,117
20611011,DOMINICA,3,11
20611012,EL GUAYABO,28,85
20611013,EL PERNAL,6,15
20611014,HIGUERONAL,30,87
20611015,LA BOCA DE TULÚ (P),29,94
20611016,LA SEMILLA (P),3,0
20611017,LAS MARINAS (P),15,35
20611018,LOURDES,70,131
20611019,LURÁ CENTRO (P),4,13
20611020,LURACITO ARRIBA (P),15,44
20611021,MONTE BUENA,3,15
20611022,NUEVO BANACITO,3,18
20611023,PASO ANCHO,6,0
20611024,PASO REAL (P),96,263
20611025,QUEBRADA LA TABILA,9,29
20611026,TIERRA BUENA,6,15
20611027,TUCUÉ (P),105,289
20611028,TUCUECITO (P),9,36
20612001,U ARRIBA,57,190
20612002,BARRIO UNIDO,56,245
20612003,BOCA DE LAS MINAS (P),20,78
20612004,BRAZO CHICO,2,6
20612005,BRAZO DE U (P),25,112
20612006,CERRO CHICA,12,35
20612007,CERRO CONGOSO,6,28
20612008,COCOBARI (P),18,82
20612009,EL VALLECITO (P),64,282
20612010,LA VAQUILLA (P),1,6
20612011,LOS PILARES (P),9,31
20612012,QUEBRADA GRANDE,25,121
20612013,RENACIMIENTO DE U,48,233
20612014,SACRAMENTO,18,57
20612015,SAN MIGUEL (P),17,44
20612016,SAN MIGUEL CENTRO,284,1053
20612017,SAN MIGUELITO,19,59
20612018,SAN PEDRO (P),192,696
20612019,SAN PEDRO ABAJO (P),4,9
20612020,SAN PEDRO ARRIBA,47,209
20612021,SANTA ANA ARRIBA (P),12,19
20612022,ZAPOTAL,5,20
20613001,ATRÉ NO.1 (P),15,31
20613002,CAIMITO (P),4,17
20613003,CHURUQUITA CHIQUITA,582,1733
20613004,CHURUQUITA GRANDE,691,1836
20613005,EL BARRERO O BARRERO,187,440
20613006,EL COCAL,82,243
20613007,EL NANZAL,130,354
20613008,EL PIRAL,81,212
20613009,EL POTRERO,157,395
20613010,GUABAL,170,476
20613011,LA NEGRITA,128,389
20613012,MONTE GRANDE,65,173
20613013,MOSQUITERO,70,225
20613014,PAJONAL ABAJO (P),76,213
20613015,RINCÓN DE LAS PALMAS,305,841
20613016,SANTA CRUZ (P),132,290
20613017,SONADORA,232,585
20613018,TUÉ,18,43
20614001,AGUAS BLANCAS (P),11,24
20614002,AGUAS CLARAS,75,192
20614003,ALTO DE LOS REYES,7,11
20614004,CAIMITAL,76,207
20614005,EL ESCOBAL,46,100
20614006,EL HATILLO,18,29
20614007,EL LIMÓN,111,283
20614008,LA PEDREGOSA,79,205
20614009,LAS MINAS (P),216,633
20614010,LAS POZAS,40,81
20614011,LAS TRANQUILLAS,29,71
20614012,MANO DE PIEDRA,11,24
20614013,PERECABÉ,80,229
20614014,PERECABECITO O SANTA CRUZ (P),170,455
20614015,ZUMBADOR,47,118
20615001,U ABAJO,8,26
20615002,ALTO DE RIECITO,51,204
20615003,ALTO LIMÓN,22,41
20615004,BOCA DE LA ENCANTADA (P),48,165
20615005,BOQUILLA DE QUEBRAÓN,1,1
20615006,CABECERA DE RIECITO,8,30
20615007,CACIQUE,2,7
20615008,CAÑO SUCIO,7,26
20615009,EL PANTANO,6,29
20615010,EL QUEBRAÓN,3,5
20615011,EL VALLE DE RIECITO,10,36
20615012,GURBE,15,22
20615013,LA PITA,6,25
20615014,LAS MARAVILLAS (P),4,18
20615015,LAS PALMAS,44,177
20615016,LOMA ALTA (P),2,6
20615017,LOMA ALTA ABAJO (P),8,46
20615018,LOS CEDROS (P),1,11
20615019,LOS CERRITOS,2,21
20615020,LOS CERRITOS NO.1,2,5
20615021,LOS ELEGIDOS  (P),11,29
20615022,LOS ZULES,44,165
20615023,PIEDRAS LARGAS,2,5
20615024,SABANETA DE U (P),21,60
20615025,SAMARIA,1,3
20615027,VALLE DEL PLATANAL,38,152
20616001,ALTOS DE LOS DARIELES,58,193
20616002,ALTOS DE SAN MIGUEL (P),5,7
20616003,BAJITO DE SAN MIGUEL,84,229
20616004,BANAZO ARRIBA,6,18
20616005,BANAZO CENTRO,23,57
20616006,BITO (P),74,200
20616007,EL CAÑO DE SAN MIGUEL (P),75,221
20616008,LA SEMILLA (P),1,6
20616009,LAS QUEBRADAS DE U,27,67
20616010,LOS MOLEJONES (P),8,22
20616011,PASO REAL (P),3,5
20616012,QUEBRADA CULEBRA,3,5
20616013,QUEBRADA EL CLAVO,9,28
20616014,QUEBRADA EL COROTÚ O QUEBRADA LA MINGA,12,66
20616015,QUEBRADA EL TIGRE,1,0
20616016,QUEBRADA LA CHISPA,8,32
20616017,QUEBRADA LA LAJOSA,5,13
20616018,QUEBRADA LA TIGRA,6,16
20616019,SABANETA DE U (P),9,51
20616020,SAN MIGUEL NO.2,7,17
20616021,SAN MIGUELITO,30,93
20616022,SANTA ANA ABAJO,103,356
20616023,VALLE DE SAN MIGUEL,95,336
30101001,BARRIO NORTE,5666,12320
30102001,BARRIO SUR,3043,6463
30103002,ALTO LA GLORIA,34,88
30103004,BUENA VISTA,2224,5924
30103006,EL GIRAL (P),676,1792
30103009,LA COCLESANA,86,210
30103010,NUEVO VERAGUAS O LA ESCANDALOSA,44,39
30103011,LAS TABLITAS,83,221
30103013,LOS PLAYONES,56,111
30103015,PEÑAS BLANCAS,234,578
30103016,PUEBLO GRANDE O ENTRADA DE SARDINILLA,356,927
30103017,PUEBLO GRANDE No.2,157,478
30103018,QUEBRADA BONITA,166,373
30103019,QUEBRADA BONITA ADENTRO,883,2693
30103020,RÍO DUQUE,650,1806
30103023,LA LOMA DE LA GLORIA,1,0
30103024,FRIJOLITO O FRIJOLITO ABAJO (P),21,41
30103025,BARRIADA NUEVA ESPERANZA No.1,39,114
30103026,BARRIADA NUEVA ESPERANZA No.2,50,151
30103027,ALTOS DE DIVISA,228,635
30103028,CAMPO ALEGRE,156,506
30103030,RINCÓN CALIENTE,12,31
30103031,DOS RÍOS,227,687
30103032,EL VALLE DEL GIRAL,109,311
30103033,RÍO GATÚN,8,7
30103034,SARDINILLA (P),2,4
30103035,QUEBRADA ANCHA (P),52,136
30103036,QUEBRADA BONITA ARRIBA,15,15
30103037,LAS COLINAS O LAS AMAZONAS,88,231
30103038,ALTO DE LA GLORIA No.2,58,165
30103039,LOS LOTES DE BUENA VISTA O BRISAS DE PEÑAS BLANCAS,256,758
30103040,EL BOSQUE,57,188
30103041,LA BONGA,2,1
30103042,BARRIO FINO,22,0
30104002,CATIVÁ (P),12296,34834
30104004,LA REPRESA (P),414,1302
30104019,EL LAGUITO,251,763
30104029,COSTA DE ORO,3,6
30104042,LAS COLINAS,30,95
30105001,ARAÑAGATAL (P),12,13
30105002,ARRECIFAL,2,0
30105003,CAÑA BRAVA (P),139,330
30105004,CAÑO DE CIRICITO,9,6
30105005,CAÑO DE VIVIANO (P),2,1
30105006,CAÑA BRAVA No.1,12,37
30105007,CIRICITO,47,72
30105008,LOS CHORROS DE CIRÍ GRANDE (P),23,43
30105009,CUIPO (P),132,354
30105010,CHORRILLO (P),279,874
30105011,EL CONGAL (P),23,34
30105013,FRENTE DE CIRICITO (P),15,35
30105014,LA CAUCHERA,84,265
30105015,LA HUMILDAD (P),13,30
30105017,LOS CEDROS DEL LAGO (P),34,65
30105019,MARAÑONCITO,57,142
30105020,NUEVA AMÉRICA,92,256
30105021,PABLÓN (P),11,34
30105022,PALMIRA (P),1,1
30105024,EL PEPINO (P),32,90
30105025,NUEVO PORVENIR,56,194
30105026,TRINIDAD DE LOS LAGOS (P),10,19
30105027,CAÑO QUEBRADO ARRIBA (P),32,102
30105030,LOS LAGUITOS (P),47,105
30105031,NUEVO CIRICITO,28,72
30106003,GATÚN O RÍO GATÚN (P),70,233
30106004,MARGARITA (P),113,164
30106005,GAMBOA (P),183,204
30106006,CIUDAD ARCO IRIS,1194,5336
30106015,LOMA FLORES,788,2161
30106016,LA TREINTAICINCO O BATERÍA 35,2,8
30106024,CRISTÓBAL,242,551
30106025,BARRIADA SAN ANDRÉS (P),5,19
30106026,BARRIADA SAN JOSÉ (P),2,1
30106028,NUEVA ITALIA (P),8,13
30106029,QUEBRADA PATO,7,8
30106030,AGUA SUCIA (P),2,0
30106032,ESCOBAL (P),140,373
30106038,LA ULLAMA (P),7,12
30106039,LA HUMILDAD (P),10,20
30106040,CAÑO VICTORIO (P),6,14
30106041,CAMPO ALEGRE (P),20,24
30106042,CHORRILLO (P),13,39
30106043,CUIPO (P),12,34
30106044,CAÑA BRAVA (P),3,21
30106045,PUNTA LA MORA (P),1,1
30106048,PABLÓN (P),4,11
30106050,ARAÑAGATAL (P),2,2
30106051,EL CONGAL (P),1,0
30106052,FRENTE DE CIRICITO (P),3,3
30106054,LOS CHORROS DE CIRÍ GRANDE (P),3,1
30106056,NUEVA PROVIDENCIA (P),28,34
30106058,EL LIMÓN (P),101,293
30106059,GUAYABALITO (P),5,6
30106060,SANTA ROSA (P),13,25
30106061,CARTAGENITA (P),12,24
30106062,ISLA VERDE (P),5,5
30106063,EL VALLE DE SANTA CRUZ (P),13,24
30106064,TRAPICHITO (P),2,1
30106066,SALAMANCA (P),9,23
30106068,NUEVO VIGÍA (P),26,68
30106069,PUEBLO VIEJO (P),3,1
30106074,FUERTE SHERMAN,38,11
30106083,PIÑA (P),2,2
30106084,RESIDENCIAL JOSÉ DOMINADOR BAZÁN (P),112,298
30106085,SALAMANQUITA (P),4,2
30106088,VINO TINTO (P),11,15
30106089,SAN ANTONIO,12,48
30106091,AGUAS CLARAS (P),2,0
30106092,ALFAGIA (P),6,3
30106094,QUEBRADA DOMINGO (P),4,5
30106096,BARRIADA JUAN DEMÓSTENES AROSEMENA O EL VEINTE (P),4,5
30106097,CAMPANA (P),2,2
30106100,LOMA BRACHO,21,41
30106101,MADROÑAL (P),20,45
30106102,QUEBRADA PLATA No.2 (P),2,2
30106109,LOS LAGUITOS (P),4,9
30106110,CAÑO DE VIVIANO (P),1,1
30106111,ISLA CALVO,3,2
30106112,LA ESTRELLA (P),2,7
30106113,LA GALLINITA,4,1
30106114,LOS CEDROS DEL LAGO (P),1,2
30106115,BOQUERÓN ABAJO (P),1,1
30106116,ELLA PURÚ EMBERÁ,30,89
30106117,ISLA MARAÑÓN,3,1
30106118,NEPONO PURÚ EMBERÁ,5,8
30106119,RÍO PIÑA (P),3,5
30106120,TANQUE NEGRO,8,33
30106121,FLOR DEL CAFÉ,22,33
30106122,GRANJA NUEVA JERUSALÉN,1,2
30106123,EMBERÁ CIMARRÓN PARAÍSO (P),7,36
30106124,ISLA DOS HUEVOS,1,0
30107002,CAÑO QUEBRADO (P),39,72
30107005,EL PORTACHUELO,6,4
30107006,ESCOBAL (P),670,1915
30107008,LA ESCOBA (P),16,24
30107009,LA ESTRELLA (P),7,10
30107011,LA HUMILDAD (P),27,46
30107013,LA ULLAMA (P),15,20
30107014,LAS CRUCES,4,8
30107016,LOS NEGROS,7,24
30107017,QUEBRAÓN,43,91
30107018,VINO TINTO (P),31,46
30107021,EL BRACITO,10,15
30107022,CAMPO ALEGRE (P),4,11
30107023,EL ARRIERO,3,4
30107024,LA FLORIDAS,1,0
30107025,LA VALEROSA,3,0
30107026,TRINIDAD DE LOS LAGOS (P),1,3
30108001,AGUAS CLARAS,85,168
30108002,AGUA SUCIA (P),9,4
30108003,ALFAGIA (P),34,24
30108008,VILLA LIMÓN (P),393,1014
30108009,CARTAGENITA (P),98,260
30108010,EL LIMÓN (P),223,629
30108012,QUEBRADA ANCHA,141,411
30108013,QUEBRADA DEL MEDIO,2,0
30108016,QUEBRADA GRANDE,100,297
30108019,QUEBRADA NORBERTO,15,9
30108020,QUEBRADA PLATA No.1,3,1
30108021,GATÚN O RÍO GATÚN (P),647,1890
30108022,SALUD,22,1
30108031,QUEBRADA ANCHA ARRIBA,58,154
30108032,CERRO AZUL,6,3
30108034,EL VALLE DE QUEBRADA ANCHA,103,245
30108035,QUEBRADA DOMINGO (P),3,0
30108036,QUEBRADA PLATA No.2 (P),1,0
30108038,BELLA VISTA,16,24
30108039,CABECERA DE QUEBRADA PATO,16,9
30108041,TRES QUEBRADAS O EL SILENCIO,77,97
30108042,QUEBRADA MAMEY,7,9
30108043,EMBERÁ QUERÁ (P),17,60
30108044,RÍO DEL JOBO,44,105
30108045,GUSANILLO,2,3
30108046,ALTOS DE LA BANDERA,32,109
30108047,ESTACIÓN CIENTO,12,9
30108048,EMBERÁ CIMARRÓN PARAISO (P),3,11
30109004,NUEVA PROVIDENCIA (P),264,804
30109006,RÍO RITA O RÍO RITA SUR,517,1540
30109007,NUEVA ITALIA (P),1672,4462
30109008,LA BARRIADA DE NÍSPERO,10,22
30109009,LOS PINOS,190,515
30109012,RÍO RITA ARRIBA O RÍO RITA NORTE (P),334,970
30109013,VILLA LINDA,64,215
30109014,ALTOS DE GUAYACANES,62,151
30109016,LAS ACACIAS,18,43
30109017,CARACOLÍN,24,12
30110002,AGUAS CLARAS No.2 O AGUAS CLARAS ARRIBA,30,52
30110005,ALTO EL CHORRO  O ELLA DRUE EMBERÁ,22,96
30110008,PUERTO PILÓN,3657,9965
30110013,RÍO GATÚN GRANDE,12,3
30110014,RÍO VIEJO,25,78
30110015,SANTA RITA ARRIBA,13,28
30110016,VILLA ALONDRA,226,620
30110022,VILLA CATALINA (P),908,2793
30110026,SIERRA LLORONA (P),24,24
30110029,RÍO ALEJANDRO,977,2973
30110030,URBANIZACIÓN LAS PERLAS DE PILÓN,528,1601
30110031,GATÚN O RÍO GATÚN (P),2,0
30110032,QUEBRADA MOCHO O QUEBRADA LA PAVA,20,48
30110033,RÍO GATÚN SECTOR NO.1,2,4
30111002,CAMPEÓN,105,315
30111005,PUERTO EL CAÑO,455,1365
30111006,QUEBRADA LÓPEZ (P),239,686
30111007,RÍO RITA ARRIBA  O RÍO RITA NORTE (P),344,1055
30111008,SABANITAS,5962,17382
30111017,BARRIADA SAN ANDRÉS (P),163,406
30111018,BARRIADA SAN JOSÉ (P),266,746
30111019,LA PLANTA DE AGUA,6,3
30111023,VILLA CATALINA (P),4,17
30111024,COMPLEJO HABITACIONAL DE NUEVA PROVIDENCIA,501,1655
30112004,EL VALLE DE SANTA CRUZ (P),185,508
30112005,GATUNCILLO ARRIBA,20,17
30112006,NUEVO PARAÍSO (P),342,859
30112014,SALAMANCA (P),353,870
30112015,SARDINILLA (P),226,617
30112016,TRAPICHITO (P),3,1
30112017,BOQUERÓN ABAJO (P),152,277
30112018,SALAMANQUITA (P),182,458
30112019,NUEVO OCÚ,234,630
30112020,NUEVO SAN JOSÉ,176,518
30112021,COROZAL,18,46
30112022,BOQUERÓN ARRIBA,69,105
30112023,LA LLANA,10,0
30112024,PUEBLO VIEJO (P),8,2
30112025,SANTA LIBRADA (P),20,45
30112026,SANTO DOMINGO,46,55
30112027,CABECERA DE GATUNCILLO,7,18
30112028,EL BAJO,3,4
30112029,EL PELIGRO,4,0
30112030,ENTRADA A LA BANDERA,1,0
30112031,LA BANDERA,3,8
30112032,SANTO DOMINGO ABAJO,5,0
30112033,CORRE GENTE,1,0
30112034,LOS PLANES,2,2
30112035,RÍO GATÚN O BONGA,6,3
30113001,BARRIADA JUAN DEMÓSTENES AROSEMENA O EL VEINTE (P),3475,9950
30113003,CAMPANA (P),16,24
30113007,EL VALLE DE LA UNIÓN,461,1433
30113008,GATUNCILLO,2252,5840
30113010,MADROÑAL (P),5,25
30113011,NUEVO SAN JUAN,663,1734
30113012,NUEVO VIGÍA (P),970,2740
30113015,ISLA VERDE (P),23,14
30113016,ENTRADA DE NUEVO SAN JUAN,45,124
30113017,NUEVO PARAÍSO (P),6,19
30113019,QUEBRADA ANCHA (P),33,78
30113022,SARDINILLA (P),5,12
30113023,EL TECAL,68,209
30113024,NUEVO VIGÍA NO.2,103,297
30114001,AGUAS CLARAS (P),40,87
30114003,FRIJOLITO O FRIJOLITO ABAJO (P),37,85
30114004,GUAYABALITO (P),57,153
30114006,PALENQUE,277,722
30114007,SANTA ROSA (P),81,182
30114009,LOMA DEL MACHO,1,0
30114010,EL GIRAL (P),4,3
30115001,BARRIADA VILLA DEL CARMEN,1569,4684
30115002,CATIVÁ (P),50,148
30115003,LA REPRESA (P),2,5
30115004,MARGARITA (P),2757,7567
30115005,PUERTO ESCONDIDO O URBANIZACIÓN EL ESFUERZO,5301,15565
30115006,PUNTA GALETA,2,0
30115007,RESIDENCIAL JOSÉ D. BAZÁN (P),392,1087
30115008,URBANIZACIÓN EL LAGO O LA FERIA,3940,10854
30115009,URBANIZACIÓN VILLA DEL CARIBE,2238,6835
30115010,ALTOS DE LOS LAGOS,7008,17973
30115011,CIELO AZUL O BRISAS DEL CARIBE,60,98
30201001,NUEVO CHAGRES,268,495
30201003,PUNTA GRANDE O PUNTA DEL MEDIO,46,72
30202001,ACHIOTE,220,598
30202002,LA PROVIDENCIA,36,82
30202003,CAÑO QUEBRADO (P),7,5
30202004,DOS HERMANAS,1,1
30202005,EL GALLO,2,10
30202006,FRIJOLITO,6,17
30202011,LA PAJOSA,5,14
30202012,LAS TABLITAS,9,4
30202013,PAULINO,22,29
30202014,LAS CUARENTA Y CINCO,12,24
30202015,MONO MACHO,1,2
30202016,LLANO BONITO,16,59
30202019,LA TAGUA,17,16
30202020,TAGUALITO (P),9,16
30202021,LA CHUNGA,7,19
30202023,ALTO DEL CONGAL,7,17
30202026,TAGUA ARRIBA,2,5
30202028,EL CAMPAMENTO,5,9
30202031,LA GLORIA (P),5,7
30202032,LA ESCOBA (P),3,4
30203002,CAÑA BLANCA,3,7
30203003,CAÑO QUEBRADO ABAJO,7,15
30203004,LAS ESCOBAS,3,5
30203005,CARDENILLO,1,0
30203006,EL CONGAL,12,42
30203007,EL GUABO,138,408
30203009,EL PEPINO (P),79,263
30203010,LA PRIMITIVA,4,3
30203011,EL PLÁTANO,70,206
30203014,LIMÓN (P),2,2
30203015,LOS FARDALES,14,36
30203018,RÍO LAGARTO,8,15
30203020,TAGUALITO (P),4,6
30203021,SANTA FE ARRIBA,112,307
30203022,SANTA FE ABAJO O NO.1 (P),44,113
30203024,CAÑO QUEBRADO ARRIBA (P),7,35
30203025,PIEDRA CANDELA O LAS PALMITAS,4,23
30203032,CERRO COLINA,2,7
30203033,HÉCTOR GALLEGOS (P),12,37
30203034,LOMA DEL GASPARILLAL,4,14
30203035,REQUENEZ (P),2,2
30203036,LA GLORIA (P),1,1
30203037,CHORRILLO (P),2,6
30204001,ALCARRETO,7,14
30204004,CERRO PELAO (P),2,8
30204005,EL DOMINICAL (P),2,7
30204006,EL ÁRBOL,4,15
30204007,EL BERRACO,2,13
30204008,EL CABIMO,6,28
30204010,EL CAJÓN,2,1
30204011,EL CONGO,47,138
30204013,CHARCÓN O EL CHARCÓN (P),9,20
30204014,CHILAR (P),6,31
30204018,EL JOBITO (P),14,36
30204019,EL LIMÓN No.1 (P),45,113
30204020,TORNO ABAJO,3,8
30204023,EL JORDAN,4,7
30204024,LA JOTA,4,6
30204026,LA CANDILERA,7,17
30204030,LA CONGA,2,8
30204032,LA ENCANTADA,46,74
30204036,LA ENCANTADITA (P),83,169
30204037,EL CASTILLO O QUEBRADA GUARAPO,11,27
30204040,LA PÓLVORA (P),2,2
30204041,LA PUERCA,9,28
30204044,LAS CRUCES,111,316
30204045,LAS DELICIAS,15,47
30204046,LAS VIGAS,14,42
30204047,LOS CEDROS,50,175
30204048,LOS FRAILES,5,13
30204049,LOS ÓRGANOS,8,30
30204050,LOS UVEROS (P),24,57
30204052,PALMIRA (P),14,26
30204053,PIEDRA AMARILLA,5,9
30204054,PIEDROTA,8,29
30204057,QUEBRADA BONITA,31,79
30204058,RANGUILLERO,3,16
30204060,SANTA ROSA,17,37
30204061,EL TIGRE,8,28
30204062,EL TORNITO,13,26
30204063,EL LIMÓN No.2,3,6
30204065,EL MICHO,2,1
30204066,TRES HERMANAS (P),1,6
30204067,VENTURA (P),7,26
30204068,QUEBRADA CRUZ,2,2
30204069,NUEVA UNIÓN,6,12
30204070,NUEVA ARENOSA,34,89
30204071,EL NANCITO,38,84
30204072,LOS SANTOS,14,22
30204074,MEMBRILLAR,3,0
30204076,ALTO MEMBRILLAR (P),4,17
30204080,LAGARTERO O EL LAGARTERO,2,5
30204081,LA TIGRA,8,25
30204083,EL ESTILLERO,12,23
30204084,ENCANTADITA ARRIBA,6,15
30204085,BOCA CHICA O NUEVA ESPERANZA,35,106
30204086,BATATILLA,9,24
30204088,EL TORNO,2,8
30204089,QUEBRADA LOS CEDROS,1,2
30204091,CERRO BENITO,3,5
30204092,LOS OLIVOS,17,31
30204093,LA TORTUGA,1,3
30204094,CABECERA DEL JOBITO,16,42
30204099,QUEBRADA BEJUCO,8,27
30204100,EL HINOJAL,11,17
30204101,LA TUSA,2,9
30204102,BATEAL,5,11
30204103,LOMA CUCUA,2,2
30204104,QUEBRADA EL PEPITO,6,11
30204105,TORNA GUINEA,1,2
30205001,LOS ALGARROBOS,4,6
30205002,GUAFE,3,1
